model,method,cv_balanced,cv_macro_f1,cv_weighted_f1,cv_accuracy,cv_balanced_std,cv_macro_f1_std,cv_weighted_f1_std,cv_accuracy_std,optuna_time,train_time,test_balanced,test_macro_f1,test_weighted_f1,test_accuracy,test_roc_auc,inf_time_per_sample,space,IPC,seed,vae_pretrain_time,vae_fine_tunning_time,encoder_inference_time,decoder_inference_time,destillation_time
naive_bayes,random,0.85,0.84,0.84,0.85,0.122,0.131,0.131,0.122,0.533,0.001,0.813,0.425,0.84,0.725,,0.0,original,10,6,,,,,
logreg,random,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,0.681,0.005,0.795,0.446,0.881,0.79,,0.0,original,10,6,,,,,
knn,random,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,0.678,0.001,0.763,0.472,0.929,0.87,,1e-06,original,10,6,,,,,
xgb,random,0.85,0.84,0.84,0.85,0.122,0.131,0.131,0.122,1.04,0.052,0.696,0.401,0.796,0.663,,0.0,original,10,6,,,,,
rf,random,0.85,0.813,0.813,0.85,0.2,0.261,0.261,0.2,9.711,0.15,0.777,0.449,0.888,0.801,,1e-06,original,10,6,,,,,
mlp,random,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,1.569,0.029,0.784,0.431,0.852,0.744,,0.0,original,10,6,,,,,
naive_bayes,k-means,0.65,0.547,0.547,0.65,0.2,0.275,0.275,0.2,0.512,0.001,0.78,0.362,0.716,0.56,,0.0,original,10,6,2262.4002962112427,0,2.323014056357011e-06,0.0011508464813232422,15.247054100036621
logreg,k-means,0.75,0.747,0.747,0.75,0.224,0.224,0.224,0.224,0.796,0.012,0.698,0.45,0.892,0.807,,0.0,original,10,6,2262.4002962112427,0,2.323014056357011e-06,0.0011508464813232422,15.247054100036621
knn,k-means,0.65,0.607,0.607,0.65,0.122,0.164,0.164,0.122,0.612,0.001,0.773,0.448,0.886,0.797,,1e-06,original,10,6,2262.4002962112427,0,2.323014056357011e-06,0.0011508464813232422,15.247054100036621
xgb,k-means,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,1.055,0.017,0.743,0.397,0.788,0.651,,0.0,original,10,6,2262.4002962112427,0,2.323014056357011e-06,0.0011508464813232422,15.247054100036621
rf,k-means,0.85,0.84,0.84,0.85,0.122,0.131,0.131,0.122,7.492,0.139,0.708,0.385,0.764,0.62,,2e-06,original,10,6,2262.4002962112427,0,2.323014056357011e-06,0.0011508464813232422,15.247054100036621
mlp,k-means,0.55,0.48,0.48,0.55,0.1,0.147,0.147,0.1,1.362,0.026,0.774,0.416,0.823,0.701,,0.0,original,10,6,2262.4002962112427,0,2.323014056357011e-06,0.0011508464813232422,15.247054100036621
naive_bayes,k-means,0.65,0.6,0.6,0.65,0.255,0.292,0.292,0.255,0.548,0.001,0.811,0.445,0.878,0.785,,0.0,latent,10,6,2262.4002962112427,0,2.323014056357011e-06,0.0011508464813232422,15.247054100036621
logreg,k-means,0.75,0.74,0.74,0.75,0.158,0.158,0.158,0.158,0.756,0.006,0.708,0.544,0.993,0.989,,0.0,latent,10,6,2262.4002962112427,0,2.323014056357011e-06,0.0011508464813232422,15.247054100036621
knn,k-means,0.7,0.68,0.68,0.7,0.245,0.261,0.261,0.245,0.655,0.001,0.722,0.514,0.985,0.972,,0.0,latent,10,6,2262.4002962112427,0,2.323014056357011e-06,0.0011508464813232422,15.247054100036621
xgb,k-means,0.75,0.707,0.707,0.75,0.158,0.213,0.213,0.158,1.08,0.03,0.824,0.451,0.89,0.804,,0.0,latent,10,6,2262.4002962112427,0,2.323014056357011e-06,0.0011508464813232422,15.247054100036621
rf,k-means,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,12.953,0.425,0.835,0.494,0.961,0.927,,8e-06,latent,10,6,2262.4002962112427,0,2.323014056357011e-06,0.0011508464813232422,15.247054100036621
mlp,k-means,0.45,0.34,0.34,0.45,0.1,0.095,0.095,0.1,1.647,0.049,0.887,0.489,0.952,0.912,,0.0,latent,10,6,2262.4002962112427,0,2.323014056357011e-06,0.0011508464813232422,15.247054100036621
naive_bayes,k-center,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,0.496,0.001,0.61,0.182,0.36,0.221,,0.0,original,10,6,2262.4002962112427,0,2.323014056357011e-06,0.0012946128845214844,5.006956100463867
logreg,k-center,0.8,0.787,0.787,0.8,0.1,0.107,0.107,0.1,0.751,0.006,0.5,0.001,0.0,0.001,,0.0,original,10,6,2262.4002962112427,0,2.323014056357011e-06,0.0012946128845214844,5.006956100463867
knn,k-center,0.85,0.84,0.84,0.85,0.122,0.131,0.131,0.122,0.671,0.001,0.5,0.001,0.0,0.001,,1e-06,original,10,6,2262.4002962112427,0,2.323014056357011e-06,0.0012946128845214844,5.006956100463867
xgb,k-center,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,1.052,0.01,0.504,0.01,0.018,0.01,,0.0,original,10,6,2262.4002962112427,0,2.323014056357011e-06,0.0012946128845214844,5.006956100463867
rf,k-center,0.8,0.76,0.76,0.8,0.187,0.244,0.244,0.187,10.939,0.349,0.504,0.01,0.017,0.01,,3e-06,original,10,6,2262.4002962112427,0,2.323014056357011e-06,0.0012946128845214844,5.006956100463867
mlp,k-center,0.65,0.573,0.573,0.65,0.122,0.196,0.196,0.122,1.661,0.045,0.594,0.163,0.322,0.193,,1e-06,original,10,6,2262.4002962112427,0,2.323014056357011e-06,0.0012946128845214844,5.006956100463867
naive_bayes,k-center,0.75,0.707,0.707,0.75,0.158,0.213,0.213,0.158,0.422,0.001,0.63,0.227,0.449,0.291,,0.0,latent,10,6,2262.4002962112427,0,2.323014056357011e-06,0.0012946128845214844,5.006956100463867
logreg,k-center,0.85,0.84,0.84,0.85,0.122,0.131,0.131,0.122,0.733,0.004,0.5,0.001,0.0,0.001,,0.0,latent,10,6,2262.4002962112427,0,2.323014056357011e-06,0.0012946128845214844,5.006956100463867
knn,k-center,0.85,0.84,0.84,0.85,0.122,0.131,0.131,0.122,0.625,0.001,0.5,0.001,0.0,0.001,,0.0,latent,10,6,2262.4002962112427,0,2.323014056357011e-06,0.0012946128845214844,5.006956100463867
xgb,k-center,0.85,0.84,0.84,0.85,0.122,0.131,0.131,0.122,1.045,0.045,0.7,0.488,0.958,0.923,,0.0,latent,10,6,2262.4002962112427,0,2.323014056357011e-06,0.0012946128845214844,5.006956100463867
rf,k-center,0.85,0.813,0.813,0.85,0.2,0.261,0.261,0.2,11.046,0.427,0.501,0.003,0.003,0.003,,6e-06,latent,10,6,2262.4002962112427,0,2.323014056357011e-06,0.0012946128845214844,5.006956100463867
mlp,k-center,0.8,0.76,0.76,0.8,0.187,0.244,0.244,0.187,1.498,0.039,0.681,0.275,0.545,0.376,,0.0,latent,10,6,2262.4002962112427,0,2.323014056357011e-06,0.0012946128845214844,5.006956100463867
naive_bayes,ag,0.7,0.66,0.66,0.7,0.187,0.227,0.227,0.187,0.51,0.001,0.78,0.362,0.716,0.56,,0.0,original,10,6,2262.4002962112427,0,2.323014056357011e-06,0.0011217594146728516,1257.7573812007904
logreg,ag,0.85,0.813,0.813,0.85,0.2,0.261,0.261,0.2,0.827,0.011,0.655,0.42,0.834,0.718,,0.0,original,10,6,2262.4002962112427,0,2.323014056357011e-06,0.0011217594146728516,1257.7573812007904
knn,ag,0.7,0.66,0.66,0.7,0.187,0.227,0.227,0.187,0.748,0.001,0.78,0.418,0.828,0.708,,1e-06,original,10,6,2262.4002962112427,0,2.323014056357011e-06,0.0011217594146728516,1257.7573812007904
xgb,ag,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,1.014,0.029,0.616,0.42,0.835,0.718,,0.0,original,10,6,2262.4002962112427,0,2.323014056357011e-06,0.0011217594146728516,1257.7573812007904
rf,ag,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,10.941,0.414,0.661,0.319,0.633,0.464,,4e-06,original,10,6,2262.4002962112427,0,2.323014056357011e-06,0.0011217594146728516,1257.7573812007904
mlp,ag,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,1.491,0.029,0.732,0.418,0.828,0.708,,0.0,original,10,6,2262.4002962112427,0,2.323014056357011e-06,0.0011217594146728516,1257.7573812007904
naive_bayes,ag,0.7,0.693,0.693,0.7,0.187,0.185,0.185,0.187,35.93,0.002,0.711,0.377,0.748,0.598,,1e-06,latent,10,6,2262.4002962112427,0,2.323014056357011e-06,0.0011217594146728516,1257.7573812007904
logreg,ag,0.85,0.84,0.84,0.85,0.122,0.131,0.131,0.122,1.122,0.007,0.823,0.478,0.938,0.885,,0.0,latent,10,6,2262.4002962112427,0,2.323014056357011e-06,0.0011217594146728516,1257.7573812007904
knn,ag,0.7,0.627,0.627,0.7,0.187,0.259,0.259,0.187,1.176,0.0,0.761,0.562,0.994,0.991,,1e-06,latent,10,6,2262.4002962112427,0,2.323014056357011e-06,0.0011217594146728516,1257.7573812007904
xgb,ag,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,1.338,0.015,0.682,0.448,0.888,0.8,,0.0,latent,10,6,2262.4002962112427,0,2.323014056357011e-06,0.0011217594146728516,1257.7573812007904
rf,ag,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,10.956,0.133,0.821,0.485,0.95,0.907,,3e-06,latent,10,6,2262.4002962112427,0,2.323014056357011e-06,0.0011217594146728516,1257.7573812007904
mlp,ag,0.8,0.793,0.793,0.8,0.187,0.189,0.189,0.187,1.789,0.051,0.856,0.482,0.943,0.894,,1e-06,latent,10,6,2262.4002962112427,0,2.323014056357011e-06,0.0011217594146728516,1257.7573812007904
naive_bayes,lc,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,0.517,0.001,0.593,0.179,0.354,0.216,,0.0,original,10,6,2262.4002962112427,0,2.323014056357011e-06,0.0011820793151855469,16.16554021835327
logreg,lc,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,0.65,0.003,0.498,0.498,0.994,0.99,,0.0,original,10,6,2262.4002962112427,0,2.323014056357011e-06,0.0011820793151855469,16.16554021835327
knn,lc,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,0.626,0.001,0.5,0.5,0.996,0.994,,0.0,original,10,6,2262.4002962112427,0,2.323014056357011e-06,0.0011820793151855469,16.16554021835327
xgb,lc,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,1.046,0.017,0.676,0.348,0.69,0.528,,0.0,original,10,6,2262.4002962112427,0,2.323014056357011e-06,0.0011820793151855469,16.16554021835327
rf,lc,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,11.049,0.427,0.594,0.37,0.735,0.583,,4e-06,original,10,6,2262.4002962112427,0,2.323014056357011e-06,0.0011820793151855469,16.16554021835327
mlp,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.53,0.029,0.591,0.468,0.928,0.868,,0.0,original,10,6,2262.4002962112427,0,2.323014056357011e-06,0.0011820793151855469,16.16554021835327
naive_bayes,lc,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,0.493,0.002,0.401,0.363,0.724,0.569,,0.0,latent,10,6,2262.4002962112427,0,2.323014056357011e-06,0.0011820793151855469,16.16554021835327
logreg,lc,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,0.693,0.005,0.505,0.507,0.998,0.998,,0.0,latent,10,6,2262.4002962112427,0,2.323014056357011e-06,0.0011820793151855469,16.16554021835327
knn,lc,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,0.623,0.001,0.503,0.506,0.998,0.999,,0.0,latent,10,6,2262.4002962112427,0,2.323014056357011e-06,0.0011820793151855469,16.16554021835327
xgb,lc,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,1.024,0.023,0.59,0.487,0.963,0.931,,0.0,latent,10,6,2262.4002962112427,0,2.323014056357011e-06,0.0011820793151855469,16.16554021835327
rf,lc,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,10.46,0.126,0.5,0.496,0.989,0.98,,2e-06,latent,10,6,2262.4002962112427,0,2.323014056357011e-06,0.0011820793151855469,16.16554021835327
mlp,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.629,0.031,0.507,0.48,0.956,0.918,,0.0,latent,10,6,2262.4002962112427,0,2.323014056357011e-06,0.0011820793151855469,16.16554021835327
