model,method,cv_balanced,cv_macro_f1,cv_weighted_f1,cv_accuracy,cv_balanced_std,cv_macro_f1_std,cv_weighted_f1_std,cv_accuracy_std,optuna_time,train_time,test_balanced,test_macro_f1,test_weighted_f1,test_accuracy,test_roc_auc,inf_time_per_sample,space,IPC,seed,vae_pretrain_time,vae_fine_tunning_time,encoder_inference_time,decoder_inference_time,destillation_time
naive_bayes,ag,0.65,0.58,0.58,0.65,0.2,0.256,0.256,0.2,3.491,0.002,0.714,0.629,0.679,0.654,0.724,2e-06,original,10,6,3442.5516023635864,0,6.263742109098629e-07,0.0014629364013671875,149.69760394096375
knn,ag,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,9.571,0.001,0.772,0.707,0.759,0.741,0.837,2.9e-05,original,10,6,3442.5516023635864,0,6.263742109098629e-07,0.0014629364013671875,149.69760394096375
xgb,ag,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,5.318,0.186,0.695,0.692,0.774,0.772,0.781,4e-06,latent,10,6,3442.5516023635864,0,6.263742109098629e-07,0.0014629364013671875,149.69760394096375
rf,ag,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,17.339,0.429,0.743,0.72,0.786,0.777,0.834,2.7e-05,latent,10,6,3442.5516023635864,0,6.263742109098629e-07,0.0014629364013671875,149.69760394096375
svc,ag,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,8.475,0.002,0.768,0.705,0.759,0.741,0.857,3e-06,latent,10,6,3442.5516023635864,0,6.263742109098629e-07,0.0014629364013671875,149.69760394096375
logreg,ag,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,7.871,0.008,0.705,0.67,0.74,0.724,0.801,7e-06,latent,10,6,3442.5516023635864,0,6.263742109098629e-07,0.0014629364013671875,149.69760394096375
mlp,ag,0.75,0.68,0.68,0.75,0.224,0.299,0.299,0.224,10.057,2.602,0.75,0.711,0.773,0.76,0.836,3.7e-05,latent,10,6,3442.5516023635864,0,6.263742109098629e-07,0.0014629364013671875,149.69760394096375
naive_bayes,ag,0.5,0.44,0.44,0.5,0.224,0.244,0.244,0.224,9.763,0.001,0.678,0.666,0.748,0.74,0.747,2e-06,latent,10,6,3442.5516023635864,0,6.263742109098629e-07,0.0014629364013671875,149.69760394096375
knn,ag,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,6.761,0.001,0.762,0.725,0.785,0.773,0.834,4.2e-05,latent,10,6,3442.5516023635864,0,6.263742109098629e-07,0.0014629364013671875,149.69760394096375
xgb,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,7.219,0.481,0.222,0.238,0.323,0.273,0.146,7e-06,original,10,6,3442.5516023635864,0,6.263742109098629e-07,0.002009153366088867,10.298097372055054
rf,lc,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,19.536,0.475,0.232,0.249,0.339,0.289,0.143,1.3e-05,original,10,6,3442.5516023635864,0,6.263742109098629e-07,0.002009153366088867,10.298097372055054
