model,method,cv_balanced,cv_macro_f1,cv_weighted_f1,cv_accuracy,cv_balanced_std,cv_macro_f1_std,cv_weighted_f1_std,cv_accuracy_std,optuna_time,train_time,test_balanced,test_macro_f1,test_weighted_f1,test_accuracy,test_roc_auc,inf_time_per_sample,space,IPC,seed,vae_pretrain_time,vae_fine_tunning_time,encoder_inference_time,decoder_inference_time
knn,k-center,0.571,0.567,0.567,0.571,0.04,0.038,0.038,0.04,4.797,0.001,0.649,0.64,0.731,0.724,0.727,3.5e-05,latent,0.01,6,0,0,0,0.0013167858123779297
xgb,ag,0.867,0.866,0.866,0.867,0.039,0.039,0.039,0.039,7.025,0.104,0.738,0.717,0.784,0.776,0.837,1.2e-05,original,0.01,6,0,0,0,0.0013272762298583984
rf,ag,0.829,0.828,0.828,0.829,0.066,0.067,0.067,0.066,13.004,0.304,0.764,0.746,0.809,0.803,0.864,1.5e-05,original,0.01,6,0,0,0,0.0013272762298583984
svc,ag,0.781,0.781,0.781,0.781,0.08,0.08,0.08,0.08,9.662,0.068,0.795,0.736,0.787,0.772,0.873,6e-05,original,0.01,6,0,0,0,0.0013272762298583984
logreg,ag,0.781,0.781,0.781,0.781,0.073,0.073,0.073,0.073,4.252,0.155,0.79,0.734,0.786,0.771,0.868,1e-05,original,0.01,6,0,0,0,0.0013272762298583984
mlp,ag,0.743,0.742,0.742,0.743,0.077,0.078,0.078,0.077,6.703,13.584,0.795,0.738,0.789,0.775,0.88,2.4e-05,original,0.01,6,0,0,0,0.0013272762298583984
naive_bayes,ag,0.729,0.724,0.724,0.729,0.083,0.084,0.084,0.083,2.87,0.001,0.678,0.681,0.77,0.772,0.814,1e-06,original,0.01,6,0,0,0,0.0013272762298583984
knn,ag,0.776,0.776,0.776,0.776,0.068,0.069,0.069,0.068,4.739,0.001,0.784,0.738,0.793,0.781,0.867,1.3e-05,original,0.01,6,0,0,0,0.0013272762298583984
xgb,ag,0.967,0.967,0.967,0.967,0.029,0.029,0.029,0.029,2.7,0.058,0.653,0.664,0.764,0.773,0.763,4e-06,latent,0.01,6,0,0,0,0.0013272762298583984
rf,ag,0.957,0.957,0.957,0.957,0.018,0.018,0.018,0.018,8.549,0.671,0.662,0.681,0.782,0.798,0.831,3e-05,latent,0.01,6,0,0,0,0.0013272762298583984
svc,ag,0.843,0.842,0.842,0.843,0.049,0.049,0.049,0.049,5.049,0.015,0.779,0.741,0.798,0.788,0.871,1.3e-05,latent,0.01,6,0,0,0,0.0013272762298583984
