model,method,cv_balanced,cv_macro_f1,cv_weighted_f1,cv_accuracy,cv_balanced_std,cv_macro_f1_std,cv_weighted_f1_std,cv_accuracy_std,optuna_time,train_time,test_balanced,test_macro_f1,test_weighted_f1,test_accuracy,test_roc_auc,inf_time_per_sample,space,IPC,seed,vae_pretrain_time,vae_fine_tunning_time,encoder_inference_time,decoder_inference_time,destillation_time
logreg,ag,0.7,0.66,0.66,0.7,0.187,0.227,0.227,0.187,6.952,0.008,0.772,0.745,0.805,0.797,0.87,9e-06,original,10,7,,,,,108.72079396247864
mlp,ag,0.55,0.447,0.447,0.55,0.1,0.157,0.157,0.1,6.005,0.819,0.793,0.751,0.805,0.794,0.875,1.4e-05,original,10,7,,,,,108.72079396247864
naive_bayes,ag,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,6.928,0.001,0.726,0.649,0.701,0.677,0.738,1e-06,original,10,7,,,,,108.72079396247864
knn,ag,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,6.222,0.001,0.775,0.704,0.755,0.737,0.843,6e-06,original,10,7,,,,,108.72079396247864
xgb,k_center,0.65,0.613,0.613,0.65,0.2,0.232,0.232,0.2,6.711,0.025,0.655,0.653,0.746,0.744,0.695,3e-06,original,10,7,,,,,0.461806058883667
rf,k_center,0.65,0.613,0.613,0.65,0.2,0.232,0.232,0.2,16.113,0.351,0.707,0.641,0.698,0.675,0.781,1.1e-05,original,10,7,,,,,0.461806058883667
svc,k_center,0.65,0.633,0.633,0.65,0.255,0.268,0.268,0.255,6.631,0.001,0.512,0.457,0.671,0.766,0.261,3e-06,original,10,7,,,,,0.461806058883667
logreg,k_center,0.65,0.607,0.607,0.65,0.122,0.164,0.164,0.122,6.938,0.037,0.699,0.69,0.77,0.765,0.769,7e-06,original,10,7,,,,,0.461806058883667
mlp,k_center,0.45,0.427,0.427,0.45,0.187,0.204,0.204,0.187,6.32,1.607,0.71,0.661,0.724,0.704,0.779,1.1e-05,original,10,7,,,,,0.461806058883667
naive_bayes,k_center,0.65,0.573,0.573,0.65,0.122,0.196,0.196,0.122,6.699,0.001,0.626,0.609,0.698,0.684,0.626,1e-06,original,10,7,,,,,0.461806058883667
knn,k_center,0.65,0.573,0.573,0.65,0.122,0.196,0.196,0.122,7.395,0.001,0.561,0.467,0.504,0.476,0.571,2.7e-05,original,10,7,,,,,0.461806058883667
xgb,lc,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,3.115,0.053,0.373,0.216,0.177,0.223,0.185,3e-06,original,10,7,,,,,4.096920728683472
rf,lc,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,15.908,0.462,0.233,0.244,0.324,0.275,0.154,1.3e-05,original,10,7,,,,,4.096920728683472
svc,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.711,0.002,0.318,0.178,0.14,0.185,0.148,2e-06,original,10,7,,,,,4.096920728683472
logreg,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,6.663,0.006,0.343,0.175,0.123,0.187,0.151,1.5e-05,original,10,7,,,,,4.096920728683472
mlp,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,7.083,1.236,0.23,0.204,0.236,0.208,0.136,1.9e-05,original,10,7,,,,,4.096920728683472
naive_bayes,lc,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,6.624,0.001,0.297,0.315,0.462,0.431,0.297,3e-06,original,10,7,,,,,4.096920728683472
knn,lc,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,4.252,0.001,0.349,0.211,0.181,0.216,0.238,2.7e-05,original,10,7,,,,,4.096920728683472
xgb,random,0.75,0.74,0.74,0.75,0.158,0.158,0.158,0.158,5.538,0.046,0.651,0.597,0.662,0.635,0.703,4e-06,original,10,8,,,,,
rf,random,0.85,0.84,0.84,0.85,0.122,0.131,0.131,0.122,13.284,0.269,0.739,0.66,0.711,0.688,0.793,8e-06,original,10,8,,,,,
svc,random,0.8,0.793,0.793,0.8,0.187,0.189,0.189,0.187,6.613,0.002,0.733,0.626,0.667,0.642,0.189,3e-06,original,10,8,,,,,
logreg,random,0.8,0.787,0.787,0.8,0.1,0.107,0.107,0.1,6.802,0.007,0.729,0.644,0.694,0.67,0.782,8e-06,original,10,8,,,,,
mlp,random,0.65,0.607,0.607,0.65,0.122,0.164,0.164,0.122,7.305,1.045,0.742,0.659,0.708,0.685,0.802,2e-05,original,10,8,,,,,
naive_bayes,random,0.4,0.32,0.32,0.4,0.255,0.24,0.24,0.255,6.346,0.001,0.666,0.6,0.659,0.632,0.666,1e-06,original,10,8,,,,,
knn,random,0.8,0.793,0.793,0.8,0.187,0.189,0.189,0.187,6.729,0.001,0.668,0.55,0.582,0.558,0.708,2.6e-05,original,10,8,,,,,
xgb,k-means,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,5.838,0.022,0.509,0.213,0.12,0.253,0.705,2e-06,original,10,8,,,,,0.46354126930236816
rf,k-means,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,14.322,0.163,0.5,0.193,0.093,0.24,0.815,5e-06,original,10,8,,,,,0.46354126930236816
svc,k-means,0.7,0.687,0.687,0.7,0.292,0.307,0.307,0.292,6.661,0.002,0.788,0.752,0.808,0.798,0.876,3e-06,original,10,8,,,,,0.46354126930236816
logreg,k-means,0.7,0.693,0.693,0.7,0.187,0.185,0.185,0.187,6.901,0.007,0.775,0.762,0.823,0.819,0.873,7e-06,original,10,8,,,,,0.46354126930236816
mlp,k-means,0.7,0.687,0.687,0.7,0.292,0.307,0.307,0.292,6.477,0.928,0.794,0.762,0.817,0.809,0.882,6e-06,original,10,8,,,,,0.46354126930236816
naive_bayes,k-means,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,4.675,0.001,0.754,0.721,0.783,0.772,0.789,1e-06,original,10,8,,,,,0.46354126930236816
knn,k-means,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,6.751,0.001,0.78,0.744,0.801,0.79,0.844,3e-06,original,10,8,,,,,0.46354126930236816
xgb,ag,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,3.926,0.043,0.605,0.619,0.75,0.786,0.729,3e-06,original,10,8,,,,,109.4453501701355
rf,ag,0.8,0.793,0.793,0.8,0.187,0.189,0.189,0.187,12.726,0.194,0.501,0.195,0.095,0.24,0.865,5e-06,original,10,8,,,,,109.4453501701355
svc,ag,0.65,0.633,0.633,0.65,0.255,0.268,0.268,0.255,6.626,0.002,0.794,0.729,0.779,0.763,0.875,4e-06,original,10,8,,,,,109.4453501701355
logreg,ag,0.65,0.58,0.58,0.65,0.2,0.256,0.256,0.2,6.689,0.006,0.766,0.753,0.815,0.811,0.872,8e-06,original,10,8,,,,,109.4453501701355
mlp,ag,0.6,0.553,0.553,0.6,0.255,0.286,0.286,0.255,5.855,0.859,0.789,0.755,0.81,0.801,0.878,1.3e-05,original,10,8,,,,,109.4453501701355
naive_bayes,ag,0.85,0.84,0.84,0.85,0.122,0.131,0.131,0.122,6.665,0.001,0.727,0.65,0.702,0.678,0.74,1e-06,original,10,8,,,,,109.4453501701355
