model,method,cv_balanced,cv_macro_f1,cv_weighted_f1,cv_accuracy,cv_balanced_std,cv_macro_f1_std,cv_weighted_f1_std,cv_accuracy_std,optuna_time,train_time,test_balanced,test_macro_f1,test_weighted_f1,test_accuracy,test_roc_auc,inf_time_per_sample,space,IPC,seed,vae_pretrain_time,vae_fine_tunning_time,encoder_inference_time,decoder_inference_time
svc,random,0.7,0.627,0.627,0.7,0.187,0.259,0.259,0.187,7.108,0.001,0.591,0.504,0.563,0.527,0.362,4e-06,original,10,6,,,,
logreg,random,0.65,0.607,0.607,0.65,0.122,0.164,0.164,0.122,3.978,0.008,0.565,0.508,0.586,0.548,0.588,1e-06,original,10,6,,,,
mlp,random,0.6,0.527,0.527,0.6,0.122,0.179,0.179,0.122,7.952,0.056,0.597,0.528,0.6,0.563,0.625,3.5e-05,original,10,6,,,,
naive_bayes,random,0.7,0.687,0.687,0.7,0.292,0.307,0.307,0.292,6.871,0.002,0.658,0.585,0.656,0.624,0.672,1e-06,original,10,6,,,,
knn,random,0.75,0.707,0.707,0.75,0.158,0.213,0.213,0.158,6.925,0.001,0.586,0.56,0.662,0.637,0.612,9e-06,original,10,6,,,,
xgb,k-means,0.6,0.56,0.56,0.6,0.122,0.154,0.154,0.122,7.964,0.208,0.559,0.496,0.569,0.53,0.569,7e-06,original,10,6,204.1275279521942,61.323988914489746,1.16002118145978e-06,0.0022721290588378906
rf,k-means,0.75,0.74,0.74,0.75,0.158,0.158,0.158,0.158,13.565,0.191,0.618,0.536,0.601,0.565,0.659,6e-06,original,10,6,204.1275279521942,61.323988914489746,1.16002118145978e-06,0.0022721290588378906
svc,k-means,0.55,0.513,0.513,0.55,0.1,0.128,0.128,0.1,5.445,0.002,0.642,0.621,0.721,0.705,0.3,3e-06,original,10,6,204.1275279521942,61.323988914489746,1.16002118145978e-06,0.0022721290588378906
logreg,k-means,0.55,0.513,0.513,0.55,0.1,0.128,0.128,0.1,5.148,0.007,0.643,0.595,0.68,0.653,0.696,0.0,original,10,6,204.1275279521942,61.323988914489746,1.16002118145978e-06,0.0022721290588378906
mlp,k-means,0.4,0.347,0.347,0.4,0.122,0.134,0.134,0.122,7.555,0.02,0.649,0.615,0.707,0.686,0.712,1.4e-05,original,10,6,204.1275279521942,61.323988914489746,1.16002118145978e-06,0.0022721290588378906
naive_bayes,k-means,0.5,0.453,0.453,0.5,0.158,0.18,0.18,0.158,2.583,0.001,0.683,0.67,0.765,0.758,0.689,1e-06,original,10,6,204.1275279521942,61.323988914489746,1.16002118145978e-06,0.0022721290588378906
knn,k-means,0.65,0.573,0.573,0.65,0.122,0.196,0.196,0.122,7.455,0.001,0.559,0.56,0.73,0.77,0.618,4.1e-05,original,10,6,204.1275279521942,61.323988914489746,1.16002118145978e-06,0.0022721290588378906
xgb,k-means,0.5,0.453,0.453,0.5,0.158,0.18,0.18,0.158,7.453,0.039,0.632,0.567,0.642,0.609,0.683,8e-06,latent,10,6,204.1275279521942,61.323988914489746,1.16002118145978e-06,0.0022721290588378906
rf,k-means,0.55,0.513,0.513,0.55,0.1,0.128,0.128,0.1,15.531,0.376,0.669,0.596,0.666,0.635,0.747,1.2e-05,latent,10,6,204.1275279521942,61.323988914489746,1.16002118145978e-06,0.0022721290588378906
svc,k-means,0.65,0.613,0.613,0.65,0.2,0.232,0.232,0.2,7.089,0.002,0.65,0.671,0.789,0.808,0.246,5e-06,latent,10,6,204.1275279521942,61.323988914489746,1.16002118145978e-06,0.0022721290588378906
logreg,k-means,0.65,0.613,0.613,0.65,0.2,0.232,0.232,0.2,5.512,0.006,0.685,0.692,0.792,0.796,0.734,1.6e-05,latent,10,6,204.1275279521942,61.323988914489746,1.16002118145978e-06,0.0022721290588378906
mlp,k-means,0.35,0.287,0.287,0.35,0.122,0.119,0.119,0.122,5.283,0.033,0.666,0.638,0.731,0.714,0.728,3.7e-05,latent,10,6,204.1275279521942,61.323988914489746,1.16002118145978e-06,0.0022721290588378906
naive_bayes,k-means,0.65,0.58,0.58,0.65,0.2,0.256,0.256,0.2,6.101,0.001,0.531,0.53,0.672,0.669,0.581,3e-06,latent,10,6,204.1275279521942,61.323988914489746,1.16002118145978e-06,0.0022721290588378906
knn,k-means,0.7,0.66,0.66,0.7,0.187,0.227,0.227,0.187,6.102,0.001,0.624,0.643,0.776,0.802,0.657,4.2e-05,latent,10,6,204.1275279521942,61.323988914489746,1.16002118145978e-06,0.0022721290588378906
xgb,k-center,0.7,0.66,0.66,0.7,0.187,0.227,0.227,0.187,5.629,0.067,0.51,0.39,0.416,0.394,0.532,7e-06,original,10,6,204.1275279521942,61.323988914489746,1.16002118145978e-06,0.0016868114471435547
rf,k-center,0.6,0.527,0.527,0.6,0.122,0.179,0.179,0.122,15.633,0.446,0.501,0.186,0.088,0.224,0.498,1.2e-05,original,10,6,204.1275279521942,61.323988914489746,1.16002118145978e-06,0.0016868114471435547
svc,k-center,0.65,0.573,0.573,0.65,0.122,0.196,0.196,0.122,7.021,0.001,0.5,0.182,0.081,0.222,0.5,3e-06,original,10,6,204.1275279521942,61.323988914489746,1.16002118145978e-06,0.0016868114471435547
logreg,k-center,0.55,0.493,0.493,0.55,0.292,0.32,0.32,0.292,7.227,0.005,0.505,0.201,0.11,0.234,0.498,0.0,original,10,6,204.1275279521942,61.323988914489746,1.16002118145978e-06,0.0016868114471435547
mlp,k-center,0.5,0.44,0.44,0.5,0.224,0.244,0.244,0.224,7.605,0.031,0.53,0.425,0.465,0.434,0.517,2.2e-05,original,10,6,204.1275279521942,61.323988914489746,1.16002118145978e-06,0.0016868114471435547
naive_bayes,k-center,0.45,0.36,0.36,0.45,0.187,0.196,0.196,0.187,3.667,0.001,0.551,0.518,0.614,0.58,0.554,2e-06,original,10,6,204.1275279521942,61.323988914489746,1.16002118145978e-06,0.0016868114471435547
knn,k-center,0.65,0.6,0.6,0.65,0.255,0.292,0.292,0.255,7.193,0.001,0.501,0.185,0.085,0.224,0.482,2e-06,original,10,6,204.1275279521942,61.323988914489746,1.16002118145978e-06,0.0016868114471435547
xgb,k-center,0.4,0.387,0.387,0.4,0.255,0.257,0.257,0.255,5.18,0.041,0.49,0.427,0.491,0.45,0.486,1e-05,latent,10,6,204.1275279521942,61.323988914489746,1.16002118145978e-06,0.0016868114471435547
rf,k-center,0.45,0.413,0.413,0.45,0.245,0.261,0.261,0.245,16.652,0.395,0.501,0.185,0.086,0.224,0.467,1.2e-05,latent,10,6,204.1275279521942,61.323988914489746,1.16002118145978e-06,0.0016868114471435547
svc,k-center,0.65,0.573,0.573,0.65,0.122,0.196,0.196,0.122,5.654,0.002,0.5,0.181,0.08,0.221,0.585,5e-06,latent,10,6,204.1275279521942,61.323988914489746,1.16002118145978e-06,0.0016868114471435547
logreg,k-center,0.55,0.48,0.48,0.55,0.1,0.147,0.147,0.1,6.623,0.052,0.501,0.184,0.085,0.223,0.443,1e-05,latent,10,6,204.1275279521942,61.323988914489746,1.16002118145978e-06,0.0016868114471435547
mlp,k-center,0.3,0.26,0.26,0.3,0.1,0.12,0.12,0.1,8.041,0.042,0.552,0.476,0.539,0.5,0.584,2.1e-05,latent,10,6,204.1275279521942,61.323988914489746,1.16002118145978e-06,0.0016868114471435547
naive_bayes,k-center,0.4,0.373,0.373,0.4,0.3,0.303,0.303,0.3,5.009,0.001,0.504,0.193,0.097,0.229,0.504,3e-06,latent,10,6,204.1275279521942,61.323988914489746,1.16002118145978e-06,0.0016868114471435547
knn,k-center,0.7,0.627,0.627,0.7,0.187,0.259,0.259,0.187,5.8,0.001,0.5,0.181,0.08,0.221,0.424,4e-06,latent,10,6,204.1275279521942,61.323988914489746,1.16002118145978e-06,0.0016868114471435547
xgb,ag,0.6,0.56,0.56,0.6,0.122,0.154,0.154,0.122,6.935,0.054,0.565,0.508,0.586,0.548,0.581,6e-06,original,10,6,204.1275279521942,61.323988914489746,1.16002118145978e-06,0.0018935203552246094
rf,ag,0.6,0.56,0.56,0.6,0.122,0.154,0.154,0.122,14.811,0.319,0.605,0.525,0.59,0.554,0.653,1.2e-05,original,10,6,204.1275279521942,61.323988914489746,1.16002118145978e-06,0.0018935203552246094
svc,ag,0.55,0.5,0.5,0.55,0.187,0.213,0.213,0.187,6.764,0.002,0.655,0.6,0.681,0.652,0.276,4e-06,original,10,6,204.1275279521942,61.323988914489746,1.16002118145978e-06,0.0018935203552246094
logreg,ag,0.5,0.44,0.44,0.5,0.224,0.244,0.244,0.224,5.148,0.006,0.668,0.636,0.726,0.707,0.73,0.0,original,10,6,204.1275279521942,61.323988914489746,1.16002118145978e-06,0.0018935203552246094
mlp,ag,0.55,0.527,0.527,0.55,0.292,0.31,0.31,0.292,8.007,0.058,0.626,0.529,0.585,0.551,0.694,2.9e-05,original,10,6,204.1275279521942,61.323988914489746,1.16002118145978e-06,0.0018935203552246094
naive_bayes,ag,0.5,0.453,0.453,0.5,0.158,0.18,0.18,0.158,3.943,0.001,0.686,0.677,0.772,0.767,0.713,2e-06,original,10,6,204.1275279521942,61.323988914489746,1.16002118145978e-06,0.0018935203552246094
knn,ag,0.65,0.6,0.6,0.65,0.255,0.292,0.292,0.255,7.798,0.001,0.636,0.629,0.737,0.731,0.659,2e-06,original,10,6,204.1275279521942,61.323988914489746,1.16002118145978e-06,0.0018935203552246094
xgb,ag,0.65,0.6,0.6,0.65,0.255,0.292,0.292,0.255,4.4,0.074,0.649,0.603,0.688,0.662,0.7,7e-06,latent,10,6,204.1275279521942,61.323988914489746,1.16002118145978e-06,0.0018935203552246094
rf,ag,0.6,0.527,0.527,0.6,0.122,0.179,0.179,0.122,15.314,0.158,0.623,0.541,0.606,0.571,0.686,5e-06,latent,10,6,204.1275279521942,61.323988914489746,1.16002118145978e-06,0.0018935203552246094
svc,ag,0.6,0.547,0.547,0.6,0.2,0.232,0.232,0.2,6.676,0.002,0.653,0.672,0.788,0.804,0.257,5e-06,latent,10,6,204.1275279521942,61.323988914489746,1.16002118145978e-06,0.0018935203552246094
logreg,ag,0.55,0.473,0.473,0.55,0.245,0.28,0.28,0.245,7.029,0.121,0.605,0.56,0.647,0.615,0.652,1.3e-05,latent,10,6,204.1275279521942,61.323988914489746,1.16002118145978e-06,0.0018935203552246094
mlp,ag,0.35,0.307,0.307,0.35,0.2,0.213,0.213,0.2,7.649,1.906,0.669,0.611,0.69,0.662,0.737,1.1e-05,latent,10,6,204.1275279521942,61.323988914489746,1.16002118145978e-06,0.0018935203552246094
naive_bayes,ag,0.55,0.447,0.447,0.55,0.1,0.157,0.157,0.1,4.976,0.001,0.515,0.494,0.697,0.757,0.569,3e-06,latent,10,6,204.1275279521942,61.323988914489746,1.16002118145978e-06,0.0018935203552246094
knn,ag,0.6,0.553,0.553,0.6,0.255,0.286,0.286,0.255,4.477,0.001,0.637,0.629,0.736,0.728,0.671,5.2e-05,latent,10,6,204.1275279521942,61.323988914489746,1.16002118145978e-06,0.0018935203552246094
xgb,random,0.75,0.733,0.733,0.75,0.274,0.292,0.292,0.274,7.631,0.198,0.596,0.548,0.634,0.601,0.587,6e-06,original,10,7,,,,
rf,random,0.8,0.793,0.793,0.8,0.187,0.189,0.189,0.187,15.23,0.347,0.537,0.49,0.575,0.535,0.588,1.1e-05,original,10,7,,,,
svc,random,0.75,0.707,0.707,0.75,0.158,0.213,0.213,0.158,7.182,0.001,0.535,0.322,0.293,0.326,0.413,3e-06,original,10,7,,,,
logreg,random,0.7,0.68,0.68,0.7,0.245,0.261,0.261,0.245,6.978,0.005,0.574,0.516,0.594,0.557,0.574,0.0,original,10,7,,,,
mlp,random,0.6,0.58,0.58,0.6,0.2,0.21,0.21,0.2,6.531,0.019,0.637,0.581,0.661,0.63,0.682,1.3e-05,original,10,7,,,,
naive_bayes,random,0.6,0.567,0.567,0.6,0.2,0.226,0.226,0.2,3.725,0.001,0.673,0.601,0.672,0.642,0.686,2e-06,original,10,7,,,,
knn,random,0.7,0.68,0.68,0.7,0.245,0.261,0.261,0.245,4.547,0.001,0.517,0.506,0.627,0.601,0.581,3e-06,original,10,7,,,,
xgb,k-means,0.55,0.48,0.48,0.55,0.1,0.147,0.147,0.1,6.995,0.018,0.635,0.639,0.755,0.759,0.705,1e-06,original,10,7,267.12971925735474,82.18504071235657,1.1413980413366246e-06,0.0024793148040771484
rf,k-means,0.5,0.333,0.333,0.5,0.0,0.0,0.0,0.0,13.733,0.129,0.5,0.181,0.08,0.221,0.59,4e-06,original,10,7,267.12971925735474,82.18504071235657,1.1413980413366246e-06,0.0024793148040771484
svc,k-means,0.55,0.447,0.447,0.55,0.1,0.157,0.157,0.1,5.786,0.001,0.659,0.678,0.792,0.808,0.268,3e-06,original,10,7,267.12971925735474,82.18504071235657,1.1413980413366246e-06,0.0024793148040771484
logreg,k-means,0.45,0.373,0.373,0.45,0.1,0.114,0.114,0.1,6.659,0.049,0.593,0.526,0.598,0.561,0.655,1e-06,original,10,7,267.12971925735474,82.18504071235657,1.1413980413366246e-06,0.0024793148040771484
mlp,k-means,0.4,0.313,0.313,0.4,0.122,0.111,0.111,0.122,8.242,0.056,0.604,0.522,0.586,0.55,0.668,2.9e-05,original,10,7,267.12971925735474,82.18504071235657,1.1413980413366246e-06,0.0024793148040771484
naive_bayes,k-means,0.5,0.42,0.42,0.5,0.158,0.183,0.183,0.158,6.811,0.001,0.601,0.549,0.631,0.597,0.618,1e-06,original,10,7,267.12971925735474,82.18504071235657,1.1413980413366246e-06,0.0024793148040771484
knn,k-means,0.7,0.627,0.627,0.7,0.187,0.259,0.259,0.187,7.979,0.001,0.624,0.63,0.752,0.759,0.647,7e-06,original,10,7,267.12971925735474,82.18504071235657,1.1413980413366246e-06,0.0024793148040771484
xgb,k-means,0.6,0.573,0.573,0.6,0.3,0.32,0.32,0.3,6.731,0.027,0.62,0.566,0.648,0.615,0.683,1e-06,latent,10,7,267.12971925735474,82.18504071235657,1.1413980413366246e-06,0.0024793148040771484
rf,k-means,0.5,0.333,0.333,0.5,0.0,0.0,0.0,0.0,12.77,0.125,0.5,0.438,0.682,0.779,0.67,5e-06,latent,10,7,267.12971925735474,82.18504071235657,1.1413980413366246e-06,0.0024793148040771484
svc,k-means,0.6,0.52,0.52,0.6,0.255,0.299,0.299,0.255,7.038,0.001,0.679,0.675,0.774,0.772,0.243,5e-06,latent,10,7,267.12971925735474,82.18504071235657,1.1413980413366246e-06,0.0024793148040771484
logreg,k-means,0.55,0.473,0.473,0.55,0.245,0.28,0.28,0.245,7.781,0.009,0.701,0.69,0.78,0.774,0.762,1e-05,latent,10,7,267.12971925735474,82.18504071235657,1.1413980413366246e-06,0.0024793148040771484
