model,method,cv_balanced,cv_macro_f1,cv_weighted_f1,cv_accuracy,cv_balanced_std,cv_macro_f1_std,cv_weighted_f1_std,cv_accuracy_std,optuna_time,train_time,test_balanced,test_macro_f1,test_weighted_f1,test_accuracy,test_roc_auc,inf_time_per_sample,space,IPC,seed,vae_pretrain_time,vae_fine_tunning_time,encoder_inference_time,decoder_inference_time
svc,craig,0.569,0.562,0.563,0.571,0.044,0.045,0.046,0.045,7.388,0.399,0.55,0.44,0.464,0.444,0.604,7.2e-05,original,0.05,6,0,0,0,0.0028867721557617188
logreg,craig,0.603,0.602,0.602,0.604,0.046,0.045,0.046,0.047,2.794,0.126,0.724,0.654,0.709,0.686,0.786,8e-06,original,0.05,6,0,0,0,0.0028867721557617188
mlp,craig,0.606,0.604,0.605,0.608,0.05,0.049,0.049,0.052,7.558,69.074,0.64,0.58,0.642,0.613,0.705,3.8e-05,original,0.05,6,0,0,0,0.0028867721557617188
naive_bayes,craig,0.567,0.521,0.523,0.571,0.035,0.069,0.07,0.036,4.142,0.002,0.541,0.333,0.298,0.34,0.524,4e-06,original,0.05,6,0,0,0,0.0028867721557617188
knn,craig,0.564,0.563,0.563,0.564,0.033,0.033,0.034,0.034,7.367,0.001,0.49,0.445,0.508,0.472,0.481,5.6e-05,original,0.05,6,0,0,0,0.0028867721557617188
xgb,craig,0.62,0.62,0.62,0.621,0.045,0.044,0.045,0.046,6.231,22.374,0.572,0.521,0.587,0.554,0.628,5e-06,latent,0.05,6,0,0,0,0.0028867721557617188
rf,craig,0.577,0.574,0.575,0.577,0.054,0.053,0.053,0.054,12.989,0.653,0.594,0.559,0.638,0.611,0.658,1.1e-05,latent,0.05,6,0,0,0,0.0028867721557617188
svc,craig,0.535,0.534,0.535,0.535,0.044,0.044,0.045,0.044,4.113,0.082,0.553,0.488,0.542,0.509,0.589,4.2e-05,latent,0.05,6,0,0,0,0.0028867721557617188
logreg,craig,0.557,0.555,0.556,0.558,0.046,0.046,0.045,0.045,3.048,0.129,0.8,0.733,0.782,0.766,0.884,0.0,latent,0.05,6,0,0,0,0.0028867721557617188
mlp,craig,0.565,0.561,0.561,0.566,0.061,0.063,0.064,0.062,8.653,4.526,0.607,0.545,0.605,0.574,0.663,2.2e-05,latent,0.05,6,0,0,0,0.0028867721557617188
naive_bayes,craig,0.508,0.491,0.489,0.505,0.071,0.068,0.068,0.07,3.593,0.001,0.488,0.479,0.584,0.557,0.527,1e-06,latent,0.05,6,0,0,0,0.0028867721557617188
knn,craig,0.575,0.574,0.574,0.575,0.045,0.044,0.044,0.045,7.783,0.001,0.461,0.425,0.494,0.456,0.452,2.5e-05,latent,0.05,6,0,0,0,0.0028867721557617188
xgb,random,0.823,0.823,0.823,0.823,0.025,0.025,0.025,0.025,7.055,28.954,0.814,0.764,0.814,0.802,0.9,5e-06,original,0.05,7,,,,
rf,random,0.812,0.812,0.812,0.812,0.021,0.021,0.021,0.021,8.035,0.821,0.815,0.755,0.803,0.79,0.897,3.8e-05,original,0.05,7,,,,
