model,method,cv_balanced,cv_macro_f1,cv_weighted_f1,cv_accuracy,cv_balanced_std,cv_macro_f1_std,cv_weighted_f1_std,cv_accuracy_std,optuna_time,train_time,test_balanced,test_macro_f1,test_weighted_f1,test_accuracy,test_roc_auc,inf_time_per_sample,space,IPC,seed,vae_pretrain_time,vae_fine_tunning_time,encoder_inference_time,decoder_inference_time,destillation_time
rf,k-means,0.85,0.84,0.84,0.85,0.122,0.131,0.131,0.122,15.075,0.249,0.625,0.641,0.758,0.782,0.788,5e-06,original,10,6,2222.7451827526093,0,5.396785181110055e-07,0.001463174819946289,0.20093035697937012
svc,k-means,0.8,0.76,0.76,0.8,0.187,0.244,0.244,0.187,6.187,0.001,0.751,0.659,0.705,0.682,0.835,3e-06,original,10,6,2222.7451827526093,0,5.396785181110055e-07,0.001463174819946289,0.20093035697937012
logreg,k-means,0.85,0.813,0.813,0.85,0.2,0.261,0.261,0.2,6.78,0.005,0.782,0.754,0.811,0.803,0.871,7e-06,original,10,6,2222.7451827526093,0,5.396785181110055e-07,0.001463174819946289,0.20093035697937012
mlp,k-means,0.75,0.733,0.733,0.75,0.274,0.292,0.292,0.274,7.986,1.509,0.783,0.711,0.761,0.743,0.861,1.3e-05,original,10,6,2222.7451827526093,0,5.396785181110055e-07,0.001463174819946289,0.20093035697937012
naive_bayes,k-means,0.65,0.633,0.633,0.65,0.255,0.268,0.268,0.255,6.61,0.001,0.698,0.673,0.747,0.734,0.741,1e-06,original,10,6,2222.7451827526093,0,5.396785181110055e-07,0.001463174819946289,0.20093035697937012
knn,k-means,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,5.975,0.001,0.781,0.717,0.769,0.752,0.846,2.7e-05,original,10,6,2222.7451827526093,0,5.396785181110055e-07,0.001463174819946289,0.20093035697937012
xgb,k-means,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,6.568,0.019,0.619,0.582,0.659,0.634,0.701,1e-06,latent,10,6,2222.7451827526093,0,5.396785181110055e-07,0.001463174819946289,0.20093035697937012
rf,k-means,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,15.942,0.352,0.701,0.619,0.67,0.644,0.762,7e-06,latent,10,6,2222.7451827526093,0,5.396785181110055e-07,0.001463174819946289,0.20093035697937012
svc,k-means,0.7,0.693,0.693,0.7,0.187,0.185,0.185,0.187,6.173,0.001,0.772,0.678,0.722,0.701,0.875,3e-06,latent,10,6,2222.7451827526093,0,5.396785181110055e-07,0.001463174819946289,0.20093035697937012
logreg,k-means,0.75,0.733,0.733,0.75,0.0,0.0,0.0,0.0,3.779,0.006,0.783,0.765,0.823,0.817,0.882,1.4e-05,latent,10,6,2222.7451827526093,0,5.396785181110055e-07,0.001463174819946289,0.20093035697937012
mlp,k-means,0.6,0.593,0.593,0.6,0.122,0.114,0.114,0.122,7.155,0.022,0.781,0.733,0.788,0.775,0.865,1.9e-05,latent,10,6,2222.7451827526093,0,5.396785181110055e-07,0.001463174819946289,0.20093035697937012
naive_bayes,k-means,0.8,0.793,0.793,0.8,0.187,0.189,0.189,0.187,6.589,0.001,0.619,0.635,0.756,0.783,0.716,2e-06,latent,10,6,2222.7451827526093,0,5.396785181110055e-07,0.001463174819946289,0.20093035697937012
knn,k-means,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,6.774,0.001,0.773,0.739,0.798,0.788,0.839,2e-06,latent,10,6,2222.7451827526093,0,5.396785181110055e-07,0.001463174819946289,0.20093035697937012
xgb,k-center,0.8,0.793,0.793,0.8,0.187,0.189,0.189,0.187,7.184,0.016,0.753,0.666,0.714,0.691,0.832,6e-06,original,10,6,2222.7451827526093,0,5.396785181110055e-07,0.0014567375183105469,0.09274148941040039
rf,k-center,0.75,0.733,0.733,0.75,0.0,0.0,0.0,0.0,17.507,0.324,0.734,0.644,0.691,0.667,0.835,8e-06,original,10,6,2222.7451827526093,0,5.396785181110055e-07,0.0014567375183105469,0.09274148941040039
svc,k-center,0.75,0.74,0.74,0.75,0.158,0.158,0.158,0.158,6.17,0.001,0.611,0.422,0.409,0.423,0.807,3e-06,original,10,6,2222.7451827526093,0,5.396785181110055e-07,0.0014567375183105469,0.09274148941040039
logreg,k-center,0.65,0.64,0.64,0.65,0.122,0.114,0.114,0.122,7.081,0.009,0.742,0.7,0.762,0.747,0.812,6e-06,original,10,6,2222.7451827526093,0,5.396785181110055e-07,0.0014567375183105469,0.09274148941040039
mlp,k-center,0.6,0.56,0.56,0.6,0.122,0.154,0.154,0.122,5.75,1.513,0.691,0.616,0.67,0.644,0.776,1.2e-05,original,10,6,2222.7451827526093,0,5.396785181110055e-07,0.0014567375183105469,0.09274148941040039
naive_bayes,k-center,0.65,0.627,0.627,0.65,0.2,0.213,0.213,0.2,5.457,0.001,0.593,0.515,0.565,0.534,0.606,1e-06,original,10,6,2222.7451827526093,0,5.396785181110055e-07,0.0014567375183105469,0.09274148941040039
knn,k-center,0.8,0.793,0.793,0.8,0.187,0.189,0.189,0.187,7.671,0.001,0.517,0.313,0.275,0.321,0.558,2.8e-05,original,10,6,2222.7451827526093,0,5.396785181110055e-07,0.0014567375183105469,0.09274148941040039
xgb,k-center,0.7,0.687,0.687,0.7,0.1,0.093,0.093,0.1,6.984,0.033,0.663,0.528,0.552,0.533,0.773,5e-06,latent,10,6,2222.7451827526093,0,5.396785181110055e-07,0.0014567375183105469,0.09274148941040039
rf,k-center,0.7,0.687,0.687,0.7,0.1,0.093,0.093,0.1,16.276,0.338,0.683,0.552,0.58,0.558,0.812,1e-05,latent,10,6,2222.7451827526093,0,5.396785181110055e-07,0.0014567375183105469,0.09274148941040039
svc,k-center,0.5,0.44,0.44,0.5,0.224,0.244,0.244,0.224,6.927,0.003,0.648,0.479,0.482,0.479,0.171,4e-06,latent,10,6,2222.7451827526093,0,5.396785181110055e-07,0.0014567375183105469,0.09274148941040039
logreg,k-center,0.6,0.58,0.58,0.6,0.2,0.21,0.21,0.2,6.933,0.007,0.721,0.646,0.7,0.676,0.818,8e-06,latent,10,6,2222.7451827526093,0,5.396785181110055e-07,0.0014567375183105469,0.09274148941040039
mlp,k-center,0.55,0.533,0.533,0.55,0.187,0.197,0.197,0.187,7.141,0.032,0.739,0.679,0.737,0.717,0.813,2e-05,latent,10,6,2222.7451827526093,0,5.396785181110055e-07,0.0014567375183105469,0.09274148941040039
naive_bayes,k-center,0.6,0.587,0.587,0.6,0.255,0.267,0.267,0.255,6.054,0.001,0.709,0.653,0.715,0.693,0.768,2e-06,latent,10,6,2222.7451827526093,0,5.396785181110055e-07,0.0014567375183105469,0.09274148941040039
knn,k-center,0.8,0.787,0.787,0.8,0.1,0.107,0.107,0.1,5.845,0.001,0.596,0.423,0.416,0.423,0.687,3e-06,latent,10,6,2222.7451827526093,0,5.396785181110055e-07,0.0014567375183105469,0.09274148941040039
xgb,ag,0.85,0.847,0.847,0.85,0.2,0.202,0.202,0.2,7.556,0.04,0.727,0.718,0.791,0.787,0.8,5e-06,original,10,6,2222.7451827526093,0,5.396785181110055e-07,0.0016162395477294922,116.0841166973114
rf,ag,0.85,0.813,0.813,0.85,0.2,0.261,0.261,0.2,16.65,0.391,0.706,0.704,0.784,0.783,0.816,8e-06,original,10,6,2222.7451827526093,0,5.396785181110055e-07,0.0016162395477294922,116.0841166973114
